Time,Latitude,Longitude
0.0,32.70338746880564,-117.2335356200863
2.2,32.703356211966444,-117.23356671752941
2.9000000000000004,32.7033297719791,-117.23357744157101
3.6500000000000004,32.70331516554823,-117.23352711153363
4.3500000000000005,32.70329128540222,-117.23352040408676
5.1000000000000005,32.70327709196795,-117.23345477073376
5.9,32.7032458501759,-117.23349524366104
6.65,32.70321882981078,-117.2335179780187
7.3500000000000005,32.70320516944317,-117.23348696370329
8.1,32.703188821931676,-117.23343532822189
8.8,32.703169436538815,-117.23342781077766
9.55,32.703150005505556,-117.23342253957325
10.25,32.70313186251252,-117.23339847366488
11.0,32.70311068289148,-117.2334182062734
11.700000000000001,32.70309511095477,-117.23339758464289
12.55,32.7030708053762,-117.23331311606694
13.25,32.70305335135798,-117.23333848379677
14.0,32.70303805501193,-117.23334218888229
14.75,32.70301106044185,-117.23328156064983
15.5,32.702990514589715,-117.23326506855665
16.25,32.70296156989233,-117.23322790002868
17.1,32.702936470798484,-117.23321408960128
18.0,32.70291252647854,-117.23322619101711
23.6,32.70288572724038,-117.23307970194196
25.200000000000003,32.70291654606824,-117.23303831837303
26.700000000000003,32.70296862838241,-117.233200103022
28.05,32.70299457118522,-117.2331908099089
30.1,32.70304282464926,-117.2332261973955
32.85,32.70310931314192,-117.23322021076488
34.300000000000004,32.703147415990586,-117.23320097343304
35.7,32.703180071452564,-117.23320894044679
37.15,32.70321369010512,-117.23322196858123
39.800000000000004,32.703289133097584,-117.23314741169288
41.650000000000006,32.70334272867915,-117.23314347762589
42.550000000000004,32.7033630167033,-117.23316488902579
43.800000000000004,32.70340605201392,-117.23313387168724
46.550000000000004,32.703946244493864,-117.23288305216835
52.5,32.703614339145595,-117.23316995919247
60.650000000000006,32.70365897169508,-117.23323214548914
65.10000000000001,32.70367582539797,-117.23327239441917
65.85000000000001,32.703681093119734,-117.2332466339181
66.55,32.703688524185544,-117.2332260573195
67.3,32.70369033343418,-117.23323041102641
68.0,32.70369729287515,-117.23320857676993
